City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Cordoba,AR,2022-01-25 01:31:07,-31.4135,-64.1811,78.6,90,0,6.91
167,Caravelas,BR,2022-01-25 01:32:33,-17.7125,-39.2481,74.21,90,94,3.29
168,Airai,TL,2022-01-25 01:32:33,-8.9266,125.4092,73.94,60,55,3.94
169,Makakilo City,US,2022-01-25 01:32:34,21.3469,-158.0858,79.12,50,0,6.91
170,Chute-Aux-Outardes,CA,2022-01-25 01:32:34,49.1168,-68.399,-0.09,83,0,4.61
171,Mountain Home,US,2022-01-25 01:32:05,43.133,-115.6912,29.41,100,100,4.61
172,Praia,CV,2022-01-25 01:32:34,14.9215,-23.5087,75.74,69,33,14.97
173,Santa Cruz,BO,2022-01-25 01:32:35,-17.8,-63.1667,81.86,78,42,5.75
174,Ambilobe,MG,2022-01-25 01:32:35,-13.2,49.05,70.72,94,100,0.81
175,Urumqi,CN,2022-01-25 01:32:35,43.801,87.6005,5.95,92,75,2.24
176,Hualmay,PE,2022-01-25 01:32:36,-11.0964,-77.6139,72.09,81,71,9.91
177,Puerto Colombia,CO,2022-01-25 01:32:36,10.9878,-74.9547,78.89,79,26,27.54
178,Pacifica,US,2022-01-25 01:32:36,37.6138,-122.4869,59.56,86,20,1.01
179,Zaysan,KZ,2022-01-25 01:33:36,47.4667,84.8667,-6.2,88,96,3.09
180,Hilo,US,2022-01-25 01:32:44,19.7297,-155.09,80.33,60,20,9.22
181,Inhambane,MZ,2022-01-25 01:33:37,-23.865,35.3833,77.43,88,100,12.21
182,Khani,GE,2022-01-25 01:33:37,41.9563,42.9566,27.97,95,94,4.03
183,Biscarrosse,FR,2022-01-25 01:33:37,44.3945,-1.1672,38.34,100,100,4.61
184,Kavaratti,IN,2022-01-25 01:33:38,10.5669,72.642,77.56,59,100,8.95
185,Ust-Ilimsk,RU,2022-01-25 01:33:38,58.0006,102.6619,-1.7,99,99,3.98
186,Araouane,ML,2022-01-25 01:33:38,18.9048,-3.5265,62.71,13,92,9.62
187,Trairi,BR,2022-01-25 01:33:38,-3.2778,-39.2689,77.27,83,100,5.17
188,Akyab,MM,2022-01-25 01:33:39,20.15,92.9,72.59,69,71,4.74
189,Quatre Cocos,MU,2022-01-25 01:33:39,-20.2078,57.7625,77.11,63,94,17.29
190,Athmallik,IN,2022-01-25 01:33:39,20.7219,84.5348,65.89,53,3,0.43
191,Portland,US,2022-01-25 01:30:00,45.5234,-122.6762,47.25,85,20,3.0
192,Villa Bruzual,VE,2022-01-25 01:33:39,9.3328,-69.1208,78.08,51,81,4.76
193,Marsh Harbour,BS,2022-01-25 01:33:40,26.5412,-77.0636,68.16,65,26,8.68
194,Te Anau,NZ,2022-01-25 01:33:40,-45.4167,167.7167,68.16,49,100,3.89
195,Tura,IN,2022-01-25 01:33:40,25.5198,90.2201,57.96,83,100,1.79
196,Chuy,UY,2022-01-25 01:33:40,-33.6971,-53.4616,73.62,92,100,6.55
197,Zaporizhzhya,UA,2022-01-25 01:33:41,47.8167,35.1833,18.7,86,75,8.95
198,Marfino,RU,2022-01-25 01:33:41,55.7028,37.3822,14.14,92,100,6.71
199,Deputatskiy,RU,2022-01-25 01:33:41,69.3,139.9,-15.47,96,100,4.72
200,Camacha,PT,2022-01-25 01:33:42,33.0833,-16.3333,57.96,67,75,13.8
201,Coruripe,BR,2022-01-25 01:33:42,-10.1256,-36.1756,79.36,78,78,10.29
202,Derventa,BA,2022-01-25 01:33:42,44.9772,17.9103,19.69,74,5,3.76
203,Port Elizabeth,ZA,2022-01-25 01:30:57,-33.918,25.5701,70.11,83,15,11.77
204,Senador Guiomard,BR,2022-01-25 01:33:42,-10.1522,-67.7392,74.95,97,100,2.66
205,Mehamn,NO,2022-01-25 01:33:43,71.0357,27.8492,29.32,76,100,36.55
206,Orbetello,IT,2022-01-25 01:33:43,42.4408,11.2196,41.02,69,0,6.91
207,Codrington,AU,2022-01-25 01:33:43,-38.2667,141.9667,85.24,39,45,17.31
208,Jacareacanga,BR,2022-01-25 01:33:43,-6.2222,-57.7528,73.45,98,100,2.15
209,Axim,GH,2022-01-25 01:33:44,4.8699,-2.2405,77.81,86,0,1.32
210,Kenora,CA,2022-01-25 01:30:24,49.8167,-94.4337,-10.23,77,0,5.75
211,Talcahuano,CL,2022-01-25 01:33:44,-36.7167,-73.1167,64.08,68,0,12.66
212,Tuktoyaktuk,CA,2022-01-25 01:33:44,69.4541,-133.0374,17.6,86,100,19.57
213,Ternate,ID,2022-01-25 01:33:45,0.8,127.4,84.79,67,97,2.28
214,La Sarre,CA,2022-01-25 01:30:25,48.8002,-79.1996,-1.52,96,100,7.54
