City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Leninskoye,KZ,41.7589,69.3864,35.38,33,0,3.51,clear sky
108,Chapais,CA,49.7834,-74.8492,-11.42,80,65,4.85,broken clouds
109,Kuminskiy,RU,58.6667,66.5667,26.55,97,100,4.36,light snow
110,Lebu,CL,-37.6167,-73.65,64.87,76,10,16.44,clear sky
111,Tasiilaq,GL,65.6145,-37.6368,17.76,67,100,38.36,overcast clouds
112,Tansen,NP,27.8673,83.5467,43.02,95,100,2.75,overcast clouds
113,Bethel,US,41.3712,-73.414,38.48,91,100,1.01,moderate rain
114,Artyom,AZ,40.4723,50.333,42.94,85,100,9.98,overcast clouds
115,Bredasdorp,ZA,-34.5322,20.0403,69.12,46,33,16.11,scattered clouds
116,Sao Filipe,CV,14.8961,-24.4956,74.82,68,0,7.74,clear sky
117,New Norfolk,AU,-42.7826,147.0587,58.91,73,85,2.06,overcast clouds
118,Cherskiy,RU,68.75,161.3,-34.64,99,9,3.8,clear sky
119,Khatanga,RU,71.9667,102.5,-35.09,100,98,3.38,overcast clouds
120,Berdigestyakh,RU,62.0989,126.6992,-23.67,99,92,2.15,overcast clouds
121,Bubaque,GW,11.2833,-15.8333,79.36,62,0,12.41,clear sky
122,Kokstad,ZA,-30.5472,29.4241,58.69,99,100,1.92,moderate rain
123,Butaritari,KI,3.0707,172.7902,82.09,75,11,17.85,light rain
124,Ahipara,NZ,-35.1667,173.1667,71.15,88,96,14.34,overcast clouds
125,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,94,75,11.36,broken clouds
126,Baykit,RU,61.67,96.37,6.94,98,100,3.31,overcast clouds
127,Afikpo,NG,5.8931,7.9374,93.47,13,1,4.81,clear sky
128,Atuona,PF,-9.8,-139.0333,78.39,76,10,16.58,clear sky
129,Rangapara,IN,26.8167,92.65,56.73,78,100,14.27,overcast clouds
130,Winchester,GB,51.0651,-1.3187,46.42,60,40,1.99,scattered clouds
131,Kodiak,US,57.79,-152.4072,33.31,80,0,5.75,clear sky
132,Bonthe,SL,7.5264,-12.505,84.36,59,13,13.6,few clouds
133,Cabedelo,BR,-6.9811,-34.8339,88.47,59,67,13.11,broken clouds
134,University Park,US,25.7465,-80.3676,82.02,70,75,4.0,broken clouds
135,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,28.68,moderate rain
136,Thompson,CA,55.7435,-97.8558,-27.24,68,0,3.44,clear sky
137,Eyl,SO,7.9803,49.8164,74.44,60,10,14.65,clear sky
138,Lagoa,PT,39.05,-27.9833,58.08,80,86,19.75,overcast clouds
139,North Platte,US,41.1239,-100.7654,32.25,47,0,1.99,clear sky
140,Broome,US,42.2506,-75.833,23.0,76,100,1.99,light snow
141,Schela,RO,45.5,27.8167,36.18,55,17,7.85,few clouds
142,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,24.16,snow
143,Luderitz,NA,-26.6481,15.1594,74.93,60,6,17.11,clear sky
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,84,99,11.3,overcast clouds
145,Katangli,RU,51.7102,143.2326,4.75,94,100,16.8,light snow
146,Pakala,IN,13.4667,79.1167,69.37,92,22,3.53,few clouds
147,Lazaro Cardenas,MX,17.9583,-102.2,79.32,56,1,3.49,clear sky
148,Ucluelet,CA,48.9329,-125.5528,46.09,94,100,4.0,light rain
149,Bay Roberts,CA,47.5999,-53.2648,34.34,93,100,14.0,snow
150,Gat,IL,31.61,34.7642,52.92,100,60,6.73,broken clouds
151,Santa Luzia,BR,-19.7697,-43.8514,85.1,63,75,4.61,broken clouds
152,Agirish,RU,61.9247,63.0231,4.53,96,82,4.63,broken clouds
153,Shache,CN,38.4167,77.2406,27.09,42,14,4.14,few clouds
154,Pangody,RU,65.85,74.4859,9.34,97,100,2.39,light snow
155,Toora-Khem,RU,52.4675,96.11,-19.08,100,54,0.74,broken clouds
156,Talnakh,RU,69.4865,88.3972,-2.79,96,99,7.61,overcast clouds
157,Jalu,LY,29.0331,21.5482,57.07,48,3,8.14,clear sky
158,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,39,75,13.8,broken clouds
159,Bilma,NE,18.6853,12.9164,66.34,15,4,5.64,clear sky
160,Wakkanai,JP,45.4094,141.6739,24.51,77,100,15.77,light snow
161,Mariental,NA,-24.6333,17.9667,88.36,20,98,9.31,overcast clouds
162,Praia,CV,14.9215,-23.5087,84.74,30,0,17.27,clear sky
163,Tuatapere,NZ,-46.1333,167.6833,48.81,84,99,4.63,overcast clouds
164,East London,ZA,-33.0153,27.9116,65.34,100,75,8.05,light rain
165,Dromolaxia,CY,34.8761,33.586,53.98,85,20,3.44,few clouds
166,Chuy,UY,-33.6971,-53.4616,80.76,69,36,6.15,scattered clouds
167,Cayenne,GF,4.9333,-52.3333,84.24,83,75,5.01,broken clouds
168,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,40,17.27,scattered clouds
169,Teahupoo,PF,-17.8333,-149.2667,73.36,77,49,16.2,scattered clouds
170,Lima,PE,-12.0432,-77.0282,77.4,76,0,1.99,clear sky
171,Severo-Kurilsk,RU,50.6789,156.125,27.09,87,100,3.67,overcast clouds
172,Cape Town,ZA,-33.9258,18.4232,72.1,49,0,5.99,clear sky
173,Ixtapa,MX,20.7,-105.2,79.86,38,16,3.85,few clouds
174,Nurmijarvi,FI,60.4641,24.8073,27.3,92,75,20.71,snow
175,Nyzhni Sirohozy,UA,46.8484,34.3804,27.55,70,91,11.54,overcast clouds
176,Nuuk,GL,64.1835,-51.7216,7.41,85,75,11.5,broken clouds
177,Rio Grande,BR,-32.035,-52.0986,77.95,84,99,2.51,moderate rain
178,Fairbanks,US,64.8378,-147.7164,1.74,67,100,0.0,light snow
179,Nikolskoye,RU,59.7035,30.7861,19.29,95,81,7.78,broken clouds
180,Saint George,US,37.1041,-113.5841,41.47,44,0,1.01,clear sky
181,Northam,GB,51.0333,-4.2167,46.9,76,27,22.01,scattered clouds
182,Palana,RU,59.1167,159.9667,9.21,83,100,10.94,overcast clouds
183,Nouadhibou,MR,20.931,-17.0347,68.94,58,9,7.16,clear sky
184,Isla Mujeres,MX,21.2311,-86.731,84.16,69,32,9.33,scattered clouds
185,Bellmead,US,31.594,-97.1089,28.24,75,100,19.57,overcast clouds
186,Acapulco,MX,16.8634,-99.8901,80.83,54,0,4.81,clear sky
187,Lompoc,US,34.6391,-120.4579,64.13,74,0,6.91,clear sky
188,Micheweni,TZ,-4.9667,39.8333,80.87,83,99,12.15,overcast clouds
189,Hualmay,PE,-11.0964,-77.6139,75.56,72,38,11.39,scattered clouds
190,General Pico,AR,-35.6566,-63.7568,82.27,43,100,4.68,overcast clouds
191,Imbituba,BR,-28.24,-48.6703,80.82,86,97,14.29,overcast clouds
192,Grindavik,IS,63.8424,-22.4338,28.35,74,75,4.61,broken clouds
193,Upernavik,GL,72.7868,-56.1549,4.03,97,100,7.25,overcast clouds
194,Kaitangata,NZ,-46.2817,169.8464,52.93,81,100,5.48,overcast clouds
195,Divo,CI,5.8397,-5.36,94.96,26,6,4.29,clear sky
196,Tessalit,ML,20.1986,1.0114,76.37,8,0,14.05,clear sky
197,Arman,RU,59.7,150.1667,-2.45,72,96,12.26,overcast clouds
198,Felanitx,ES,39.4696,3.1483,58.96,84,29,7.31,scattered clouds
199,Japura,ID,-0.3167,102.35,73.04,97,28,1.36,scattered clouds
200,Pandan,PH,14.0453,124.1694,75.04,90,100,5.82,light rain
201,Klaksvik,FO,62.2266,-6.589,34.72,66,92,45.9,overcast clouds
202,Roald,NO,62.5833,6.1333,37.9,93,75,31.07,broken clouds
203,Idrinskoye,RU,54.3708,92.1358,-6.77,99,59,2.77,broken clouds
204,Tabas,IR,33.5959,56.9244,57.29,24,4,6.42,clear sky
205,Kununurra,AU,-15.7667,128.7333,78.78,94,40,0.0,scattered clouds
206,Ust-Tsilma,RU,65.441,52.1498,-7.89,100,91,2.39,overcast clouds
207,Alyangula,AU,-13.8483,136.4192,80.47,89,75,0.0,broken clouds
208,Karaton,ID,-6.3424,106.1045,75.36,95,100,0.69,overcast clouds
209,Sao Raimundo Nonato,BR,-9.0153,-42.6994,95.34,29,99,6.26,overcast clouds
210,Flinders,AU,-34.5833,150.8552,64.2,85,73,7.0,broken clouds
211,Bereznik,RU,62.8551,42.7072,-5.03,100,78,3.24,broken clouds
212,Kamo,JP,37.65,139.05,33.62,92,100,9.75,snow
213,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,14.97,few clouds
214,Terrace Bay,CA,48.7834,-87.1,-7.98,83,100,11.72,light snow
215,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,59,75,8.95,broken clouds
216,Lunglei,IN,22.8833,92.7333,51.31,73,38,3.15,scattered clouds
217,Nchelenge,ZM,-9.3451,28.734,66.09,89,100,4.54,overcast clouds
218,Antofagasta,CL,-23.65,-70.4,74.21,53,19,11.3,few clouds
219,Voznesenye,RU,61.0106,35.4781,-4.38,100,84,3.76,broken clouds
220,Orlik,RU,52.5178,99.825,-18.47,96,47,2.91,scattered clouds
221,San Cristobal,VE,7.7669,-72.225,73.58,47,53,1.19,broken clouds
222,Bay City,US,43.5945,-83.8889,15.91,72,0,5.99,clear sky
223,Brunico,IT,46.7958,11.9364,43.09,93,6,1.74,clear sky
224,Warrnambool,AU,-38.3833,142.4833,54.81,85,7,11.27,clear sky
225,Margate,GB,51.3813,1.3862,45.97,71,39,3.0,scattered clouds
226,Mayo,US,38.8876,-76.5119,50.56,95,100,1.99,moderate rain
